county,population
Alachua,260003
Baker,27191
Bay,178820
Bradford,27642
Brevard,575211
Broward,1873970
Calhoun,15001
Charlotte,172720
Citrus,143801
Clay,208549
Collier,357470
Columbia,68943
DeSoto,35621
Dixie,16726
Duval,936811
Escambia,313381
Flagler,105157
Franklin,12161
Gadsden,48263
Gilchrist,17224
Glades,13087
Gulf,16297
Hamilton,14663
Hardee,27426
Hendry,39057
Hernando,181882
Highlands,102138
Hillsborough,1379302
Holmes,20210
Indian River,148962
Jackson,50418
Jefferson,14611
Lafayette,8479
Lake,331724
Lee,698468
Leon,287899
Levy,41015
Liberty,8719
Madison,19377
Manatee,368782
Marion,349267
Martin,153022
Miami-Dade,2743095
Monroe,76889
Nassau,80456
Okaloosa,195488
Okeechobee,41140
Orange,1313880
Osceola,337614
Palm Beach,1414144
Pasco,505709
Pinellas,962003
Polk,661645
Putnam,73176
St. Johns,229715
St. Lucie,297634
Santa Rosa,170835
Sarasota,407260
Seminole,454757
Sumter,120700
Suwannee,44690
Taylor,22295
Union,15947
Volusia,523405
Wakulla,31909
Walton,65301
Washington,24985
